297,305,299,289,361,298,359,314
290,296,297,276,360,296,354,316
291,295,297,275,360,294,354,314
290,294,296,274,360,291,354,311
290,293,296,272,360,289,354,310
293,300,294,273,365,275,364,301
293,299,294,266,367,268,366,300
292,267,373,265,374,298,293,299
291,298,292,265,367,267,366,299
282,296,284,261,367,266,365,300
290,297,291,263,366,266,365,299
281,294,284,258,366,265,363,301
279,295,282,255,368,262,365,302
279,295,282,255,368,262,365,302
279,296,282,255,368,261,366,301
278,296,281,255,367,260,365,301
279,296,281,254,369,259,367,301
276,295,279,250,372,257,369,302
273,290,279,243,374,254,369,301
271,289,278,236,380,250,373,303
274,291,279,240,380,250,375,301
269,288,277,234,379,249,372,303
270,285,278,226,380,240,372,299
266,281,278,221,379,242,366,301
266,281,278,221,380,242,367,301
267,273,282,226,375,256,359,303
267,273,282,226,375,256,359,303
267,272,283,225,375,256,360,302
267,272,283,225,376,256,361,302
260,267,279,218,373,255,354,304
260,267,279,218,374,255,355,305
260,268,279,218,374,255,355,305
260,268,279,218,375,255,356,305
260,268,280,218,375,255,356,305
260,267,279,217,375,255,356,304
261,267,279,217,377,254,359,304
261,267,279,218,377,253,360,302
262,266,280,217,379,253,361,302
263,265,281,216,381,253,364,301
263,257,282,216,379,260,360,301
264,257,282,216,379,260,360,301
264,256,283,215,380,259,361,300
266,256,284,215,380,258,362,299
265,255,284,214,380,258,361,299
266,255,285,213,381,256,363,298
266,255,285,213,381,256,362,298
267,255,285,213,381,256,362,298
267,255,285,214,380,256,362,297
267,255,285,214,380,256,362,297
266,255,284,214,380,257,361,297
266,255,284,214,380,257,361,298
266,255,284,214,380,257,361,298
265,261,281,218,379,255,363,298
265,261,281,218,379,255,363,298
265,261,281,218,379,255,363,298
265,262,281,218,379,254,363,298
265,262,281,219,378,254,362,297
264,262,280,218,378,254,362,297
264,262,280,219,377,254,361,297
263,262,279,218,377,254,361,297
263,262,279,218,377,254,361,298
263,263,279,218,377,254,361,298
263,263,279,219,377,255,361,299
266,266,282,215,379,246,362,297
266,267,282,215,379,246,362,298
266,267,282,216,379,246,363,298
266,269,282,216,378,246,361,299
272,280,280,232,379,249,371,297
272,281,280,232,380,249,371,298
270,282,278,235,380,252,372,299
278,262,378,252,382,289,282,299
274,293,276,255,379,258,378,296
279,267,377,257,380,290,283,300
279,265,377,263,378,295,280,296
283,266,375,266,375,297,283,297
284,280,284,280,284,280,284,280
275,284,281,262,359,283,352,306
276,289,283,262,362,283,355,310
276,289,283,263,362,284,355,311
284,295,287,274,358,283,356,304
284,296,287,274,358,284,355,305
283,296,286,275,358,286,355,307
290,303,291,282,362,285,361,305
289,304,290,283,362,286,361,306
289,304,290,283,362,286,361,306
288,304,289,283,362,287,361,308
288,305,289,283,361,287,360,308
297,292,353,292,353,309,297,309
311,303,351,294,353,305,313,314
311,303,350,294,352,304,313,313
310,304,350,294,352,303,312,314
310,304,350,294,352,304,312,314
304,306,347,296,350,309,306,318
303,306,347,296,350,310,306,319
303,308,346,298,349,311,305,320
312,308,339,304,341,313,313,317
